OS  16x16       32x32      64x64
00  2.61e+02    4.66e+01   1.13e+01
01  3.24e+02    4.50e+01   8.55e+00
06  3.71e+02    3.09e+01   3.09e+01
11  3.51e+02    1.50e+02   1.50e+02
16  1.10e+03    1.10e+03   1.10e+03

RSC 16x16       32x32      64x64
00  2.59e+02    6.69e+01   3.67e+01
01  1.91e+02    6.15e+01   1.79e+01
06  2.04e+02    4.25e+01   2.22e+01
11  1.93e+02    8.30e+01   3.73e+01
16  6.33e+02    2.90e+02   1.32e+02

CS  16x16       32x32      64x64
00  7.86e+02    4.00e+02   1.68e+02
01  1.51e+02    3.48e+01   7.98e+00
06  1.59e+02    4.21e+01   9.59e+00
11  1.75e+02    4.51e+01   1.13e+01
16  2.43e+02    6.22e+01   1.50e+01

CSRS16x16       32x32      64x64
00  1.13e+03    4.66e+02   1.68e+02
01  1.81e+02    5.13e+01   1.06e+01
06  1.81e+02    5.28e+01   1.22e+01
11  1.89e+02    5.58e+01   1.36e+01
16  2.54e+02    7.18e+01   1.90e+01
